price,mantage,metrage,sal,otag,tabage,vshed_status,lat,long,tehdad_vahed,asansor,parking,anbari
17500000256,kooy-e-ferdos,96,1394.0,2.0,۴,بازسازی نشده,35.720943450928,51.321399688721,,آسانسور دارد,پارگینگ دارد,انباری دارد
2969999872,dolatkhah-shomali,41,1385.0,1.0,۳ از ۴,بازسازی نشده,35.62513203787,51.34114348869,1.0,آسانسور دارد,پارگینگ ندارد,انباری ندارد
7500000256,niroo-havayi,55,1386.0,2.0,۵,بازسازی شده,35.695383890685,51.490006693509,2.0,آسانسور دارد,پارگینگ ندارد,انباری دارد
6899999744,shokoofeh,85,1385.0,2.0,۳ از ۳,بازسازی شده,35.689882844006,51.45179024509,,آسانسور ندارد,پارگینگ دارد,انباری دارد
26200000512,south-janat-abad,115,1402.0,2.0,۲ از ۵,بازسازی شده,35.750940965618,51.306231255832,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
28999999488,darya,125,1382.0,2.0,۴ از ۴,بازسازی نشده,35.770202794971,51.371017878026,1.0,آسانسور ندارد,پارگینگ دارد,انباری دارد
13200000000,kooy-e-ferdos,73,1388.0,2.0,۴ از ۵,بازسازی شده,35.724883205456,51.319468137557,3.0,آسانسور دارد,پارگینگ دارد,انباری دارد
6499999744,andisheh,77,1402.0,2.0,۳ از ۳,بازسازی شده,35.743260211995,51.284007372044,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
7400000000,vahidiyeh,62,1385.0,2.0,۲,بازسازی شده,35.714942515092,51.469984141711,1.0,آسانسور ندارد,پارگینگ دارد,انباری دارد
7000000000,rah-ahan-tehran,98,1386.0,2.0,۳ از ۴,بازسازی شده,35.660615249733,51.405179647614,2.0,آسانسور ندارد,پارگینگ دارد,انباری دارد
51599998976,hekmat,120,1404.0,2.0,۴,بازسازی نشده,35.799019928902,51.444760008212,,آسانسور دارد,پارگینگ دارد,انباری دارد
7600000000,zehtabi,95,1404.0,2.0,۴ از ۶,بازسازی نشده,35.644072369167,51.361674196285,2.0,آسانسور دارد,پارگینگ ندارد,انباری ندارد
